Subject Name,Condition,Number of Draws,Trials per Draw,Frequency,PLV**2: bootstrapped mean,PLV**2: bootstrapped variance,Spectrum: bootstrapped mean,Spectrum: bootstrapped variance,Noise floor PLV**2: bootstrapped mean,Noise floor PLV**2: bootstrapped variance,Noise floor Spectrum: bootstrapped mean,Noise floor Spectrum: bootstrapped variance
subj001,1,100,250,354.00390625,0.00719919607764,2.432470484e-06,0.212949992626,0.00180195719592,0.00527464776967,1.67955939467e-06,0.150860344928,0.00116192417518
subj001,1,100,250,356.4453125,0.00726875561845,2.33439472981e-06,0.213884086174,0.00174988175905,0.00530893073221,2.32852871425e-06,0.152012751892,0.00158820394395
subj001,1,100,250,358.88671875,0.00738484767007,1.79096177552e-06,0.212566134921,0.00127240142147,0.00541180373594,2.3258827277e-06,0.152246348601,0.00149188501002
subj001,1,100,250,361.328125,0.00758481040413,2.05992003316e-06,0.207702374423,0.00124337592933,0.00549478524007,2.35200267415e-06,0.150394106085,0.00135074954881
subj001,1,100,250,363.76953125,0.00837538787204,4.13847295765e-06,0.227508177131,0.002666150673,0.0055165555787,2.1319562361e-06,0.151627118117,0.00117619667052
subj001,1,100,250,366.2109375,0.00838524233215,3.85799330701e-06,0.225079262389,0.00226207950493,0.00546300223816,2.183960679e-06,0.147440802143,0.00120663358359
subj001,1,100,250,368.65234375,0.00885681624872,4.90586670005e-06,0.241523398861,0.00318618573018,0.00547491826752,2.2760925543e-06,0.146495283924,0.00122478163852
subj001,1,100,250,371.09375,0.00813531350612,4.13467009004e-06,0.221643435941,0.00258077994385,0.00546186925032,2.08368031036e-06,0.145924405029,0.0011943340944
subj001,1,100,250,373.53515625,0.00722197650954,2.54140828877e-06,0.19233621915,0.00148102303215,0.00548483126256,1.92824686966e-06,0.143475630257,0.00104823621615
subj001,1,100,250,375.9765625,0.00706801890562,2.17986420711e-06,0.181003825099,0.00125313483004,0.00548033437158,2.00504795795e-06,0.141443407583,0.00109031609613
subj001,1,100,250,378.41796875,0.00699733326213,2.19140383782e-06,0.178024525999,0.00129144859355,0.00526361062498,1.71513773883e-06,0.136205103706,0.000959861798268
subj001,1,100,250,380.859375,0.0073051858823,3.27580184936e-06,0.181708242827,0.00178488810224,0.00517647671893,2.05053817819e-06,0.131429547269,0.000991651775406
subj001,1,100,250,383.30078125,0.00751362706503,3.47165235003e-06,0.185099899488,0.00188029181867,0.00500427894747,1.56469184478e-06,0.126545784725,0.000793474439888
subj001,1,100,250,385.7421875,0.00711854414021,2.7776206071e-06,0.176238459754,0.00157633174579,0.00490351328856,1.59583146505e-06,0.124887218706,0.000813447972558
subj001,1,100,250,388.18359375,0.00762615131927,3.44576530554e-06,0.186168040395,0.00170470035455,0.00495964957056,1.65808109508e-06,0.123915665754,0.000823622508477
subj001,1,100,250,390.625,0.00866816797067,3.72078141866e-06,0.206600662103,0.00180505424961,0.00511069276354,1.69209337117e-06,0.127435383804,0.000953895847156
subj001,1,100,250,393.06640625,0.00914377876422,4.36005098139e-06,0.216040401095,0.0019227032473,0.00513775740148,1.67271207666e-06,0.126416647553,0.000866038441171
